objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
vjlsarchives038,038.jpg,,Pre-WW2 Textbook A,image/jpeg,Grade 5 textbook from 1929.,,,1929,,book; pre-ww2,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives039,039.jpg,,Pre-WW2 Textbook B,image/jpeg,Textbook belonging to Kimiko Nasu (Saito) from 1930.,,,1930,,book; pre-ww2,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives040,040.jpg,,Pre-WW2 Textbook C,image/jpeg,Grade 2 textbook belonging to Kimiko Nasu (Saito) from 1933.,,,1933,,book; pre-ww2,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives041,041.jpg,,Book,image/jpeg,Book from 1942.,,,1942,,single-page; photographs,School,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives042,042.jpg,,Japanese Tea Ceremony Set,image/jpeg,Cups and other items in a stacked box set.,,,,,porcelain,Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives043,043.jpg,,Visit of Prince Takamatsunomiya,image/jpeg,"Photo 1 of royal visit taken October 3, 1965 by Haruko Iwata.",,,1965,,single-page; photographs,Royalty,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives044,044.jpg,,Visit of Prince Takamatsunomiya Group Photo,image/jpeg,"Photo 2 of royal visit taken October 3, 1965 by Haruko Iwata.",,,1965,,single-page; photographs,Royalty,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives045,045.jpg,,Visit of Prince Takamatsunomiya Dinner,image/jpeg,"Photo 3 of royal visit taken October 3, 1965 by Haruko Iwata.",,,1965,,single-page; photographs,Royalty,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives046,046.jpg,,Visit of Prince Takamatsunomiya Japanese Hall Entrance,image/jpeg,"Photo 4 of royal visit taken October 3, 1965 by Haruko Iwata.",,,1965,,single-page; photographs,Royalty,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives047,047.jpg,,Visit of Prince Takamatsunomiya Audience,image/jpeg,"Photo 5 of royal visit taken October 3, 1965 by Haruko Iwata.",,,1965,,single-page; photographs,Royalty,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives048,048.jpg,,Preparing Udon A,image/jpeg,Photo 1 of women making udon noodles in 1960.,,,1960,,single-page; photographs,Community; Food,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives049,049.jpg,,Preparing Udon B,image/jpeg,Photo 2 of women making udon noodles in 1960.,,,1960,,single-page; photographs,Community; Food,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives050,050.jpg,,Thank You Certificate to School,image/jpeg,Certificate given to VJLS-JH by Japan International Exchange Commission in 1986.,,,1986,,single-page; document,School; Japan; International,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives051,051.jpg,,Thank You Certificate to Shodo Club,image/jpeg,Certificate given to Shodo Club by Japan International Exchange Commission in 1986.,,,1986,,single-page; document,School; Japan; International; Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
vjlsarchives052,052.jpg,,Lulie the Iceberg Poster,image/jpeg,"Poster for Lulie the Iceberg play, original story by Princess Hisako Takamado.",,,2002,,single-page; flyers,Royalty; Cultural,"Vancouver, BC",,,,Vancouver Japanese Language School and Japanese Hall,VJLS-JH Archives,,,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
